,avg,each,fold,nModels,ntree,tc
186,0.6396594557166102,0.660160366689045,0,10,550,5
187,0.6397511075339318,0.6602149609511793,0,10,600,5
188,0.6401811962197098,0.6611504028077729,0,10,650,5
189,0.6413777410770494,0.6629229913041067,0,10,700,5
190,0.6635502502626046,0.6635502422481906,1,1,500,4
191,0.6610589869688323,0.6610589801954501,1,1,550,4
192,0.6602625774229394,0.6602625701305891,1,1,600,4
193,0.6585530009136817,0.6585529937063439,1,1,650,4
194,0.6579491233135029,0.6579491154480108,1,1,700,4
195,0.6585269356014702,0.6585269282853818,1,1,750,4
196,0.6575794996328586,0.6575794924784761,1,1,800,4
197,0.6583288507751983,0.6583288430694035,1,1,850,4
198,0.6588533781932225,0.6588533701165087,1,1,900,4
199,0.660106752150022,0.6601067444753168,1,1,950,4
200,0.6529911276137608,0.6612138122264829,1,2,500,4
201,0.6506109741441919,0.6590989698408185,1,2,550,4
202,0.6491031064410525,0.6571598716873741,1,2,600,4
203,0.647632788044685,0.6561503186934997,1,2,650,4
204,0.6468803218824113,0.6553061028632438,1,2,700,4
205,0.6467276684064596,0.6549434973451437,1,2,750,4
206,0.6463980650862299,0.6554865006970362,1,2,800,4
207,0.6471122187590492,0.6564534663072267,1,2,850,4
208,0.6476451538341721,0.6573068842790634,1,2,900,4
209,0.6487746580648568,0.6585818800351531,1,2,950,4
210,0.6495148025373275,0.6622310470358783,1,3,500,4
211,0.6470364256421527,0.6598934291824937,1,3,550,4
212,0.6452633531335539,0.6578435716391591,1,3,600,4
213,0.643790220214189,0.6567356504469192,1,3,650,4
214,0.643134417144635,0.6567165603753666,1,3,700,4
215,0.6429176612440523,0.6569314830856139,1,3,750,4
216,0.642951102611405,0.6578638887341892,1,3,800,4
217,0.6434487693682319,0.6583820623416912,1,3,850,4
218,0.6436730056893852,0.6579794085135993,1,3,900,4
219,0.6446038815042046,0.6589241083837415,1,3,950,4
220,0.6481898298395998,0.6626653889933376,1,4,500,4
221,0.6456612225306475,0.6601939173508783,1,4,550,4
222,0.6438944002626492,0.6587199637548452,1,4,600,4
223,0.6424598575022245,0.6577366122520831,1,4,650,4
224,0.6414724431818797,0.6565507487840835,1,4,700,4
225,0.6411581770146177,0.6560819882034322,1,4,750,4
226,0.6411376611047827,0.6560103061895128,1,4,800,4
227,0.6415773680069355,0.6566432918324541,1,4,850,4
228,0.6419443053412531,0.6572714560144882,1,4,900,4
229,0.6427838224564703,0.6580814774251427,1,4,950,4
230,0.6471379954477406,0.6617529954868425,1,5,500,4
231,0.644719667354663,0.6598503606712667,1,5,550,4
232,0.6429244988941047,0.6580169626741066,1,5,600,4
233,0.6416004479352361,0.6575594570769128,1,5,650,4
234,0.6406964076613593,0.6572622627021649,1,5,700,4
235,0.6402903816079997,0.6567978638531978,1,5,750,4
236,0.6402976556413079,0.657133385005987,1,5,800,4
237,0.6407164717108024,0.6577132132246535,1,5,850,4
238,0.6410391331754227,0.6579154788388485,1,5,900,4
239,0.6419019899015713,0.6589056406554104,1,5,950,4
240,0.6464580463082201,0.6614145853182843,1,6,500,4
241,0.6439868477808948,0.6587544564825137,1,6,550,4
242,0.6421272722761372,0.6570286324143989,1,6,600,4
243,0.6407835482108994,0.6559257687010213,1,6,650,4
244,0.6398469490502874,0.6551946609065881,1,6,700,4
245,0.6395227213038823,0.6556231217540343,1,6,750,4
