,avg,each,epochs,fold,h1,h2,nModels
164,0.7338315042840438,0.8446379658960269,390,0,70,90,2
165,0.7419766020817896,0.8536522141146559,400,0,70,90,2
166,0.7458373906133647,0.8535441374697832,410,0,70,90,2
167,0.7460530476310453,0.8611946330196543,420,0,70,90,2
168,1.1557853902976543,1.1705221982560128,10,0,60,100,3
169,0.9593916798203864,0.9778210689676178,20,0,60,100,3
170,0.8772258485671979,0.8954085748803994,30,0,60,100,3
171,0.8234572573722257,0.8458314513595154,40,0,60,100,3
172,0.7829110144067706,0.8040824895095365,50,0,60,100,3
173,0.7517928559133062,0.7745439602040386,60,0,60,100,3
174,0.7267989629600208,0.750351150036302,70,0,60,100,3
175,0.7058720133886367,0.7327299820660679,80,0,60,100,3
176,0.6871301208817899,0.7139758839912885,90,0,60,100,3
177,0.6749108402461732,0.7043348495463857,100,0,60,100,3
178,0.6623900322183629,0.6928214105821789,110,0,60,100,3
179,0.6540179557604577,0.6891569630480778,120,0,60,100,3
180,0.6451666875011648,0.6844220965207902,130,0,60,100,3
181,0.6438272009604767,0.697724465980744,140,0,60,100,3
182,0.6342953837546847,0.6757048123277504,150,0,60,100,3
183,0.6333228198032156,0.6821490066252597,160,0,60,100,3
184,0.6328955978177848,0.6797166846176915,170,0,60,100,3
185,0.6280608138664746,0.6787124183021416,180,0,60,100,3
186,0.6327434727050952,0.6874078917772521,190,0,60,100,3
187,0.630750052132214,0.6893516089797341,200,0,60,100,3
188,0.6295451011380377,0.6956054102074726,210,0,60,100,3
189,0.6303528989019432,0.6997971388979215,220,0,60,100,3
190,0.6353482262638506,0.7107256247538585,230,0,60,100,3
191,0.6344179483871366,0.7284493858510576,240,0,60,100,3
192,0.6385687194599796,0.7186129581188593,250,0,60,100,3
193,0.6450861270293006,0.7408104544886589,260,0,60,100,3
194,0.6470011906172738,0.7391744071596179,270,0,60,100,3
195,0.6470866514131347,0.7458814934505564,280,0,60,100,3
196,0.6520580042680131,0.748644067808643,290,0,60,100,3
197,0.6582236655901569,0.7646017146701326,300,0,60,100,3
198,0.6572758127754887,0.7704299317858277,310,0,60,100,3
199,0.6643600396228164,0.7919516580411432,320,0,60,100,3
200,0.6637525173182772,0.7820759094645062,330,0,60,100,3
201,0.6701597551643017,0.7905486202339789,340,0,60,100,3
202,0.6744623282327108,0.8132245920678283,350,0,60,100,3
203,0.674878878953912,0.80899352040361,360,0,60,100,3
204,0.6793689437777447,0.8135698562824851,370,0,60,100,3
205,0.684464991343587,0.82785178925159,380,0,60,100,3
206,0.6889699382694378,0.8783048540977056,390,0,60,100,3
207,0.6885306246111089,0.8381944454957624,400,0,60,100,3
208,0.696696749448445,0.8733412399403346,410,0,60,100,3
209,0.6964073502253422,0.8637045620934267,420,0,60,100,3
210,1.1374474470356395,1.1425630420670547,10,0,70,90,3
211,0.9499804408737866,0.9669276451684325,20,0,70,90,3
212,0.870173651824883,0.8859514560925601,30,0,70,90,3
213,0.8190974617156968,0.8345863497822458,40,0,70,90,3
214,0.782331354512872,0.7979619079848913,50,0,70,90,3
215,0.750757117536699,0.7676241162477361,60,0,70,90,3
216,0.7255278402085293,0.7440923838992026,70,0,70,90,3
217,0.7048028976051918,0.7261949874234396,80,0,70,90,3
218,0.6873985637541871,0.7101899258585341,90,0,70,90,3
219,0.6734002039504916,0.6996112118354478,100,0,70,90,3
220,0.6621790293162741,0.687227323212075,110,0,70,90,3
221,0.6526219263778994,0.6823737695963581,120,0,70,90,3
222,0.6452684161832463,0.6820957763109946,130,0,70,90,3
223,0.6429743721262998,0.6823466963799826,140,0,70,90,3
224,0.6371106904990635,0.6744151348192668,150,0,70,90,3
225,0.6357090307793113,0.671538683509776,160,0,70,90,3
226,0.6353774923528956,0.6769567445721406,170,0,70,90,3
227,0.6351814180239482,0.6801784450037689,180,0,70,90,3
228,0.631664073183324,0.6783359096904351,190,0,70,90,3
229,0.6342596797495078,0.6979093805909885,200,0,70,90,3
